ClassName,LCOM
AbstractAnnotation: LCOM[0.55]
CategoryItemLabelGenerator: LCOM[0]
CategorySeriesLabelGenerator: LCOM[0]
CategoryToolTipGenerator: LCOM[0]
CrosshairLabelGenerator: LCOM[0]
CustomXYToolTipGenerator: LCOM[0.6428571428571428]
FlowLabelGenerator: LCOM[0]
HighLowItemLabelGenerator: LCOM[0.4666666666666667]
IntervalCategoryItemLabelGenerator: LCOM[1.0]
IntervalCategoryToolTipGenerator: LCOM[1.0]
IntervalXYItemLabelGenerator: LCOM[1.0]
IntervalXYToolTipGenerator: LCOM[1.0]
ItemLabelPosition: LCOM[0.6]
MultipleXYSeriesLabelGenerator: LCOM[0.6571428571428571]
PieSectionLabelGenerator: LCOM[0]
PieToolTipGenerator: LCOM[0]
StandardCategoryItemLabelGenerator: LCOM[1.0]
StandardCategorySeriesLabelGenerator: LCOM[0.8]
StandardCategoryToolTipGenerator: LCOM[1.0]
StandardCrosshairLabelGenerator: LCOM[0.30000000000000004]
StandardFlowLabelGenerator: LCOM[0.5]
StandardPieSectionLabelGenerator: LCOM[0.7619047619047619]
StandardPieToolTipGenerator: LCOM[1.0]
StandardXYItemLabelGenerator: LCOM[1.0]
StandardXYSeriesLabelGenerator: LCOM[0.8]
StandardXYToolTipGenerator: LCOM[1.0]
StandardXYZToolTipGenerator: LCOM[0.7142857142857143]
SymbolicXYItemLabelGenerator: LCOM[1.0]
XYItemLabelGenerator: LCOM[0]
XYSeriesLabelGenerator: LCOM[0]
XYToolTipGenerator: LCOM[0]
XYZToolTipGenerator: LCOM[0]
LegendGraphic: LCOM[0.809009009009009]
LegendItem: LCOM[0.8974358974358975]
LegendItemBlockContainer: LCOM[0.7708333333333334]
LegendItemCollection: LCOM[0.5]
LegendItemSource: LCOM[0]
LegendTitle: LCOM[0.9073083778966132]
PaintScaleLegend: LCOM[0.827922077922078]
CategoryCrosshairState: LCOM[0.33333333333333337]
CategoryMarker: LCOM[0.33333333333333337]
CategoryPlot: LCOM[0.9761584454409566]
CombinedDomainCategoryPlot: LCOM[0.7604166666666666]
CombinedDomainXYPlot: LCOM[0.7672413793103449]
CombinedRangeCategoryPlot: LCOM[0.736842105263158]
CombinedRangeXYPlot: LCOM[0.7592592592592593]
ArrowNeedle: LCOM[0.625]
CompassPlot: LCOM[0.9151515151515152]
LineNeedle: LCOM[1.0]
LongNeedle: LCOM[1.0]
MeterNeedle: LCOM[0.8101851851851851]
MiddlePinNeedle: LCOM[1.0]
PinNeedle: LCOM[1.0]
PlumNeedle: LCOM[1.0]
PointerNeedle: LCOM[1.0]
ShipNeedle: LCOM[1.0]
WindNeedle: LCOM[1.0]
Crosshair: LCOM[0.847972972972973]
CrosshairState: LCOM[0.75]
DefaultDrawingSupplier: LCOM[0.8796992481203008]
AbstractDialLayer: LCOM[0.5]
ArcDialFrame: LCOM[0.7608695652173914]
DialBackground: LCOM[0.6363636363636364]
DialCap: LCOM[0.6666666666666667]
DialFrame: LCOM[0]
DialLayer: LCOM[0]
DialLayerChangeEvent: LCOM[0.0]
DialLayerChangeListener: LCOM[0]
DialPlot: LCOM[0.8854166666666666]
DialPointer: LCOM[0.5625]
DialScale: LCOM[0]
DialTextAnnotation: LCOM[0.7593984962406015]
DialValueIndicator: LCOM[0.8832236842105263]
StandardDialFrame: LCOM[0.6625]
StandardDialRange: LCOM[0.75]
StandardDialScale: LCOM[0.8978723404255319]
DrawingSupplier: LCOM[0]
FastScatterPlot: LCOM[0.9143518518518519]
FlowPlot: LCOM[0.8593073593073592]
IntervalMarker: LCOM[0.71875]
Marker: LCOM[0.8571428571428572]
MeterInterval: LCOM[0.6666666666666667]
MeterPlot: LCOM[0.9373040752351097]
Pannable: LCOM[0]
AbstractPieLabelDistributor: LCOM[0.19999999999999996]
MultiplePiePlot: LCOM[0.7777777777777778]
PieLabelDistributor: LCOM[0.625]
PieLabelRecord: LCOM[0.7666666666666666]
PiePlot: LCOM[0.9608058608058608]
PiePlotState: LCOM[0.9]
Plot: LCOM[0.9553921568627451]
PlotRenderingInfo: LCOM[0.7]
PlotState: LCOM[0.0]
PolarPlot: LCOM[0.9619565217391304]
RingPlot: LCOM[0.8333333333333334]
SpiderWebPlot: LCOM[0.9449152542372882]
ThermometerPlot: LCOM[0.9628169014084507]
ValueAxisPlot: LCOM[0]
ValueMarker: LCOM[0.0]
WaferMapPlot: LCOM[0.9363636363636364]
XYCrosshairState: LCOM[0]
XYPlot: LCOM[0.9758513091846425]
Zoomable: LCOM[0]
AbstractRenderer: LCOM[0.9732400621807684]
AbstractCategoryItemRenderer: LCOM[0.9217506631299734]
AreaRenderer: LCOM[0.6666666666666667]
BarPainter: LCOM[0]
BarRenderer: LCOM[0.9454365079365079]
BoxAndWhiskerRenderer: LCOM[0.8787878787878788]
CategoryItemRenderer: LCOM[0]
CategoryItemRendererState: LCOM[0.75]
CategoryStepRenderer: LCOM[0.8571428571428572]
DefaultCategoryItemRenderer: LCOM[0]
GanttRenderer: LCOM[0.7866666666666666]
GradientBarPainter: LCOM[0.5238095238095238]
GroupedStackedBarRenderer: LCOM[0.5]
IntervalBarRenderer: LCOM[1.0]
LayeredBarRenderer: LCOM[0.75]
LevelRenderer: LCOM[0.8125]
LineAndShapeRenderer: LCOM[0.8863636363636364]
MinMaxCategoryRenderer: LCOM[0.7944444444444445]
ScatterRenderer: LCOM[0.8012422360248448]
StackedAreaRenderer: LCOM[0.6666666666666667]
StackedBarRenderer: LCOM[0.6428571428571428]
StandardBarPainter: LCOM[0]
StatisticalBarRenderer: LCOM[0.5757575757575757]
StatisticalLineAndShapeRenderer: LCOM[0.5666666666666667]
WaterfallBarRenderer: LCOM[0.6923076923076923]
DefaultPolarItemRenderer: LCOM[0.8711018711018711]
GrayPaintScale: LCOM[0.4285714285714286]
LookupPaintScale: LCOM[0.6666666666666667]
NotOutlierException: LCOM[0]
Outlier: LCOM[0.65]
OutlierList: LCOM[0.7083333333333333]
OutlierListCollection: LCOM[0.7142857142857143]
PaintScale: LCOM[0]
PolarItemRenderer: LCOM[0]
RendererState: LCOM[0.5]
RendererUtils: LCOM[0]
WaferMapRenderer: LCOM[0.8214285714285714]
AbstractXYItemRenderer: LCOM[0.889937106918239]
CandlestickRenderer: LCOM[0.8773148148148148]
ClusteredXYBarRenderer: LCOM[0.75]
CyclicXYItemRenderer: LCOM[1.0]
DefaultXYItemRenderer: LCOM[0]
DeviationRenderer: LCOM[0.6]
DeviationStepRenderer: LCOM[0]
GradientXYBarPainter: LCOM[0.5238095238095238]
HighLowRenderer: LCOM[0.78125]
SamplingXYLineRenderer: LCOM[0.4285714285714286]
StackedXYAreaRenderer: LCOM[0.7435897435897436]
StackedXYAreaRenderer2: LCOM[0.8]
StackedXYBarRenderer: LCOM[0.625]
StandardXYBarPainter: LCOM[0]
StandardXYItemRenderer: LCOM[0.9137254901960784]
VectorRenderer: LCOM[0.6]
WindItemRenderer: LCOM[1.0]
XYAreaRenderer: LCOM[0.8866396761133604]
XYAreaRenderer2: LCOM[0.6666666666666667]
XYBarPainter: LCOM[0]
XYBarRenderer: LCOM[0.9211309523809523]
XYBlockRenderer: LCOM[0.7708333333333334]
XYBoxAndWhiskerRenderer: LCOM[0.8285714285714285]
XYBubbleRenderer: LCOM[0.92]
XYDifferenceRenderer: LCOM[0.8333333333333334]
XYDotRenderer: LCOM[0.7291666666666667]
XYErrorRenderer: LCOM[0.75]
XYItemRenderer: LCOM[0]
XYItemRendererState: LCOM[0.75]
XYLineAndShapeRenderer: LCOM[0.8992248062015504]
XYShapeRenderer: LCOM[0.8333333333333334]
XYSplineRenderer: LCOM[0.6]
XYStepAreaRenderer: LCOM[0.9037433155080214]
XYStepRenderer: LCOM[0.7142857142857143]
YIntervalRenderer: LCOM[0.7142857142857143]
