File Name, Density of Comments
TickLabelEntity.java, 0.7777777777777778
TitleEntity.java, 0.5555555555555556
XYAnnotationEntity.java, 0.6306306306306306
XYItemEntity.java, 0.6140350877192983
AnnotationChangeEvent.java, 0.7397260273972602
AnnotationChangeListener.java, 0.7857142857142857
AxisChangeEvent.java, 0.7536231884057971
AxisChangeListener.java, 0.8333333333333334
ChartChangeEvent.java, 0.6589147286821705
ChartChangeEventType.java, 0.9056603773584906
ChartChangeListener.java, 0.8245614035087719
ChartProgressEvent.java, 0.6666666666666666
ChartProgressEventType.java, 0.8979591836734694
ChartProgressListener.java, 0.8148148148148148
MarkerChangeEvent.java, 0.7571428571428571
MarkerChangeListener.java, 0.7857142857142857
package-info.java, 0.8333333333333334
PlotChangeEvent.java, 0.7605633802816901
PlotChangeListener.java, 0.8181818181818182
RendererChangeEvent.java, 0.7291666666666666
RendererChangeListener.java, 0.8148148148148148
TitleChangeEvent.java, 0.75
TitleChangeListener.java, 0.8181818181818182
DynamicDriveToolTipTagFragmentGenerator.java, 0.7446808510638298
ImageMapUtils.java, 0.45136186770428016
OverLIBToolTipTagFragmentGenerator.java, 0.7567567567567568
package-info.java, 0.75
StandardToolTipTagFragmentGenerator.java, 0.7571428571428571
StandardURLTagFragmentGenerator.java, 0.7746478873239436
ToolTipTagFragmentGenerator.java, 0.8769230769230769
URLTagFragmentGenerator.java, 0.8059701492537313
Args.java, 0.6611570247933884
ArrayUtils.java, 0.4
CloneUtils.java, 0.4696132596685083
HashUtils.java, 0.616504854368932
LineUtils.java, 0.40853658536585363
package-info.java, 0.75
PaintUtils.java, 0.39069767441860465
SerialUtils.java, 0.32190760059612517
ShapeUtils.java, 0.441233140655106
AbstractCategoryItemLabelGenerator.java, 0.4952076677316294
AbstractPieItemLabelGenerator.java, 0.5064377682403434
AbstractXYItemLabelGenerator.java, 0.498567335243553
BoxAndWhiskerToolTipGenerator.java, 0.5972222222222222
BoxAndWhiskerXYToolTipGenerator.java, 0.5769230769230769
BubbleXYItemLabelGenerator.java, 0.49063670411985016
CategoryItemLabelGenerator.java, 0.8333333333333334
CategorySeriesLabelGenerator.java, 0.8360655737704918
CategoryToolTipGenerator.java, 0.8484848484848485
CrosshairLabelGenerator.java, 0.8181818181818182
CustomXYToolTipGenerator.java, 0.518918918918919
FlowLabelGenerator.java, 0.8135593220338984
HighLowItemLabelGenerator.java, 0.460093896713615
IntervalCategoryItemLabelGenerator.java, 0.5447761194029851
IntervalCategoryToolTipGenerator.java, 0.5290322580645161
IntervalXYItemLabelGenerator.java, 0.44649446494464945
IntervalXYToolTipGenerator.java, 0.46564885496183206
ItemLabelAnchor.java, 0.9583333333333334
ItemLabelPosition.java, 0.5502645502645502
MultipleXYSeriesLabelGenerator.java, 0.47619047619047616
package-info.java, 0.75
PieSectionLabelGenerator.java, 0.8043478260869565
PieToolTipGenerator.java, 0.8305084745762712
StandardCategoryItemLabelGenerator.java, 0.6164383561643836
StandardCategorySeriesLabelGenerator.java, 0.5849056603773585
StandardCategoryToolTipGenerator.java, 0.6136363636363636
StandardCrosshairLabelGenerator.java, 0.56
StandardFlowLabelGenerator.java, 0.5625
StandardPieSectionLabelGenerator.java, 0.596
StandardPieToolTipGenerator.java, 0.6713286713286714
StandardXYItemLabelGenerator.java, 0.6134020618556701
StandardXYSeriesLabelGenerator.java, 0.5963855421686747
StandardXYToolTipGenerator.java, 0.6040609137055838
StandardXYZToolTipGenerator.java, 0.4883720930232558
SymbolicXYItemLabelGenerator.java, 0.5238095238095238
XYItemLabelGenerator.java, 0.8305084745762712
XYSeriesLabelGenerator.java, 0.8387096774193549
XYToolTipGenerator.java, 0.8275862068965517
XYZToolTipGenerator.java, 0.8275862068965517
LegendGraphic.java, 0.49261744966442955
LegendItem.java, 0.5571955719557196
LegendItemBlockContainer.java, 0.5767195767195767
LegendItemCollection.java, 0.569620253164557
LegendItemSource.java, 0.8181818181818182
LegendRenderingOrder.java, 0.9
LegendTitle.java, 0.43446244477172313
package-info.java, 0.75
PaintScaleLegend.java, 0.4011220196353436
CategoryCrosshairState.java, 0.5284090909090909
CategoryMarker.java, 0.5631578947368421
CategoryPlot.java, 0.44328845369237047
CenterTextMode.java, 0.9056603773584906
CombinedDomainCategoryPlot.java, 0.3925373134328358
CombinedDomainXYPlot.java, 0.40185676392572944
CombinedRangeCategoryPlot.java, 0.38028169014084506
CombinedRangeXYPlot.java, 0.39747191011235955
Crosshair.java, 0.5367847411444142
